The data were extracted from the website http://www.fundamentus.com.br in October 2016.;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
ASSETS;P/L;P/VP;P/EBIT;PSR;P/Ativos;P/Cap. Giro;P/Ativ Circ Liq;Div. Yield;EV / EBIT;Giro Ativos;Cres. Rec (5a);LPA;VPA;Marg. Bruta;Marg. EBIT;Marg. Líquida;EBIT / Ativo;ROIC;ROE;Liquidez Corr;Div Br/ Patrim;N. AÇÕES
ABEV3;25,92;6,97;17,9;6,44;4,03;-92,66;-25,67;0,02;17,77;0,63;0,04;0,76;2,82;0,66;0,36;0,26;0,23;0,27;0,27;0,85;0,08;15.717.600.000
ALPA4;15,96;2,55;8,8;1,15;1,28;4,28;10,33;0,04;9,07;1,11;0,11;0,64;4,03;0,44;0,13;0,07;0,15;0,19;0,16;2;0,36;470.450.000
ALSC3;21,23;1,42;9,13;5,22;0,63;-26,39;-1,49;0,01;8,85;0,12;0,14;0,75;11,19;0,77;0,57;0,27;0,07;0,07;0,07;0,81;-;162.736.000
ANIM3;13,8;1,57;10,17;1,17;0,73;3,99;-3,87;0,02;12,42;0,62;0,31;0,92;8,1;0,4;0,12;0,09;0,07;0,09;0,11;2,12;0,65;82.866.000
ARTR3;77,67;1,65;6,94;1,27;0,44;-2,33;-0,7;0,01;15,12;0,35;0,07;0,13;6,07;0,24;0,18;0,02;0,06;0,07;0,02;0,34;2,19;472.990.000
BBAS3;7,06;1;0;0;0;0;0;0,04;0;0;-0,04;3,58;25,33;0;0;0;0;0;0,14;0;0;2.865.420.000
BBDC3;9,86;1,71;0;0;0;0;0;0,06;0;0;0,23;3,01;17,35;0;0;0;0;0;0,17;0;0;5.553.600.000
BBDC4;10,25;1,78;0;0;0;0;0;0,06;0;0;0,23;3,01;17,35;0;0;0;0;0;0,17;0;0;5.553.600.000
BBRK3;-3,21;0,83;-4,59;2,72;0,7;7,02;15,19;0;-4,22;0,26;-0,25;-0,54;2,07;0,96;-0,59;-0,86;-0,15;-0,17;-0,26;2,31;0;192.840.000
BBSE3;0;0;0;0;0;0;0;0,06;0;0;0;0;0;0;0;0;0;0;0;0;0;2.000.000.000
BBTG11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BEEF3;-10;4,01;2,37;0,25;0,29;1,2;-0,93;0;5,27;1,16;0,25;-1,02;2,55;0,21;0,11;-0,03;0,12;0,2;-0,4;1,67;9,45;239.845.000
BOVA11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BRAP4;-2,16;0,49;-392,91;0;0,39;0;0;0,04;-503,11;0;0;-5;22,24;0;0;0;0;0;-0,23;0;0;349.548.000
BRCR11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
